Activity,Individuals,Frequency
A342,P11/P340/P215/P157/P254/P357/P227/P343/P177/P189/P194/P323/P286/P257/P115,1
A343,P340/P215/P157/P254/P227/P343/P177/P189/P194/P286/P257/P115,1
A344,P188/P80/P391/P112/P265/P143/P280/P183/P387/P22/P148/P214/P146,1
A345,P112/P80/P143/P387/P343/P22/P148/P425,1
A346,P357/P227/P134/P238/P307/P340/P112/P19/P157/P20/P347/P320/P60/P323/P425/P114/P95/P24/P143/P280/P189/P88/P194/P82/P36/P115/P11/P215/P80/P254/P343/P177/P239/P123/P286/P257,1
A347,P357/P387/P22/P383/P320/P377/P24/P265/P143/P280/P100/P169/P11/P80/P343,1
A348,P100/P11/P317/P80/P217/P37/P357/P109/P320/P171/P153/P65,1
A349,P11/P24/P80/P317/P143/P280/P357/P343/P387/P320,1
A350,P336/P42,45
A351,P112/P80/P143/P280/P148/P62,45
A352,P54/P112/P321/P80/P143/P280/P42/P22/P387,12
A353,P80/P280,200
A354,P21/P80/P143/P280,12
A355,P317/P80/P280,12
A356,P317/P80/P143/P280/P21/P86,12
A357,P11/P80/P24/P317/P143/P357/P343/P320,1
A358,P387/P42/P164,4
A359,P54/P112/P387/P42,4
A360,P259/P80,4
A361,P143/P280,4
A362,P86/P80/P280,12
A363,P80/P135,12
A364,P398/P311,1
A365,P336/P369/P42/P164,200
A366,P374/P280,45
A367,P112/P280,200
A368,P112/P80/P143/P280/P22/P214/P259,45
A369,P83/P280,12
A370,P424/P280,12
A371,P128/P280,12
A372,P297/P280,12
A373,P54/P112,200
A374,P307/P323,1
A375,P112/P80/P143/P133/P387/P343/P311/P148/P82/P259/P36/P261,4
A376,P112/P80/P188/P321/P143/P280/P22/P322/P387/P148/P17/P146/P214/P259/P300/P36/P261,1
A377,P112/P188/P391/P321/P143/P280/P22/P322/P242/P387/P148/P146/P214/P259/P36/P261,1
A378,P112/P80/P188/P391/P321/P143/P280/P22/P322/P148/P146/P214/P259/P36/P261,1
A379,P112/P80/P321/P143/P280/P22/P242/P148/P146/P214/P259/P36/P261,1
A380,P112/P80/P391/P143/P280/P22/P242/P148/P146/P214/P300/P36/P261,1
A381,P112/P80/P188/P391/P321/P143/P280/P22/P322/P242/P387/P148/P17/P146/P214/P259/P261,1
A382,P112/P80/P391/P321/P143/P280/P22/P322/P146/P214/P259/P261,1
A383,P112/P80/P391/P321/P143/P280/P22/P322/P242/P387/P148/P146/P214/P259/P300/P36/P261,1
